2025-03-04 16:15:14 | INFO | stdout | Starting server
2025-03-04 16:15:14 | ERROR | stderr | [32mINFO[0m:     Will watch for changes in these directories: ['/Users/danqingzhang/Desktop/learning/roblox-game-ai-backend/fargate-backend']
2025-03-04 16:15:14 | ERROR | stderr | [32mINFO[0m:     Uvicorn running on [1mhttp://0.0.0.0:8500[0m (Press CTRL+C to quit)
2025-03-04 16:15:14 | ERROR | stderr | [32mINFO[0m:     Started reloader process [[36m[1m27151[0m] using [36m[1mStatReload[0m
2025-03-04 16:15:17 | INFO | stdout | Starting server
2025-03-04 16:15:17 | ERROR | stderr | [32mINFO[0m:     Started server process [[36m27293[0m]
2025-03-04 16:15:17 | ERROR | stderr | [32mINFO[0m:     Waiting for application startup.
2025-03-04 16:15:17 | ERROR | stderr | [32mINFO[0m:     Application startup complete.
2025-03-04 16:15:26 | INFO | stdout | [32mINFO[0m:     127.0.0.1:60905 - "[1mGET / HTTP/1.1[0m" [32m200 OK[0m
2025-03-04 16:15:33 | INFO | stdout | roblox game chosen difficulty: id
2025-03-04 16:15:33 | INFO | stdout | All models: ['claude-3-5-sonnet-20240620', 'deepseek-reasoner', 'gemini-1.5-pro', 'gemini-2.0-flash-thinking-exp', 'gpt-4o-2024-08-06', 'gpt-4o-2024-11-20', 'grok-2-beta', 'llama-3-405b', 'o1-mini', 'o3-mini', 'qwen-max', 'yi-lightning']
2025-03-04 16:15:33 | INFO | stdout | Visible models: ['claude-3-5-sonnet-20240620', 'deepseek-reasoner', 'gemini-1.5-pro', 'gemini-2.0-flash-thinking-exp', 'gpt-4o-2024-08-06', 'gpt-4o-2024-11-20', 'grok-2-beta', 'llama-3-405b', 'o1-mini', 'o3-mini', 'qwen-max', 'yi-lightning']
2025-03-04 16:15:33 | INFO | stdout | model api info: {'model_name': 'claude-3-5-sonnet-20240620', 'api_type': 'anthropic_message', 'api_key': '{YOUR_API_KEY}', 'anony_only': False, 'recommended_config': {'temperature': 0.7, 'top_p': 1.0}}
2025-03-04 16:15:33 | INFO | stdout | INIT ROUND: 0
2025-03-04 16:15:33 | INFO | stdout | All models: ['claude-3-5-sonnet-20240620', 'gemini-1.5-pro', 'gemini-2.0-flash-thinking-exp', 'gpt-4o-2024-11-20', 'grok-2-beta', 'qwen-max']
2025-03-04 16:15:33 | INFO | stdout | Visible models: ['claude-3-5-sonnet-20240620', 'gemini-1.5-pro', 'gemini-2.0-flash-thinking-exp', 'gpt-4o-2024-11-20', 'grok-2-beta', 'qwen-max']
2025-03-04 16:15:33 | INFO | stdout | [32mINFO[0m:     127.0.0.1:60906 - "[1mPOST /taboo/start?model_name=claude-3-5-sonnet-20240620 HTTP/1.1[0m" [32m200 OK[0m
2025-03-04 16:15:39 | INFO | stdout | roblox game chosen difficulty: id
2025-03-04 16:15:39 | INFO | stdout | All models: ['claude-3-5-sonnet-20240620', 'deepseek-reasoner', 'gemini-1.5-pro', 'gemini-2.0-flash-thinking-exp', 'gpt-4o-2024-08-06', 'gpt-4o-2024-11-20', 'grok-2-beta', 'llama-3-405b', 'o1-mini', 'o3-mini', 'qwen-max', 'yi-lightning']
2025-03-04 16:15:39 | INFO | stdout | Visible models: ['claude-3-5-sonnet-20240620', 'deepseek-reasoner', 'gemini-1.5-pro', 'gemini-2.0-flash-thinking-exp', 'gpt-4o-2024-08-06', 'gpt-4o-2024-11-20', 'grok-2-beta', 'llama-3-405b', 'o1-mini', 'o3-mini', 'qwen-max', 'yi-lightning']
2025-03-04 16:15:39 | INFO | stdout | model api info: {'model_name': 'claude-3-5-sonnet-20240620', 'api_type': 'anthropic_message', 'api_key': '{YOUR_API_KEY}', 'anony_only': False, 'recommended_config': {'temperature': 0.7, 'top_p': 1.0}}
2025-03-04 16:15:39 | INFO | stdout | INIT ROUND: 0
2025-03-04 16:15:39 | INFO | stdout | All models: ['claude-3-5-sonnet-20240620', 'gemini-1.5-pro', 'gemini-2.0-flash-thinking-exp', 'gpt-4o-2024-11-20', 'grok-2-beta', 'qwen-max']
2025-03-04 16:15:39 | INFO | stdout | Visible models: ['claude-3-5-sonnet-20240620', 'gemini-1.5-pro', 'gemini-2.0-flash-thinking-exp', 'gpt-4o-2024-11-20', 'grok-2-beta', 'qwen-max']
2025-03-04 16:15:39 | INFO | stdout | [32mINFO[0m:     127.0.0.1:60907 - "[1mPOST /taboo/start HTTP/1.1[0m" [32m200 OK[0m
2025-03-04 16:17:38 | INFO | stdout | roblox game chosen difficulty: dummy
2025-03-04 16:17:38 | INFO | stdout | All models: ['claude-3-5-sonnet-20240620', 'deepseek-reasoner', 'gemini-1.5-pro', 'gemini-2.0-flash-thinking-exp', 'gpt-4o-2024-08-06', 'gpt-4o-2024-11-20', 'grok-2-beta', 'llama-3-405b', 'o1-mini', 'o3-mini', 'qwen-max', 'yi-lightning']
2025-03-04 16:17:38 | INFO | stdout | Visible models: ['claude-3-5-sonnet-20240620', 'deepseek-reasoner', 'gemini-1.5-pro', 'gemini-2.0-flash-thinking-exp', 'gpt-4o-2024-08-06', 'gpt-4o-2024-11-20', 'grok-2-beta', 'llama-3-405b', 'o1-mini', 'o3-mini', 'qwen-max', 'yi-lightning']
2025-03-04 16:17:38 | INFO | stdout | model api info: {'model_name': 'claude-3-5-sonnet-20240620', 'api_type': 'anthropic_message', 'api_key': '{YOUR_API_KEY}', 'anony_only': False, 'recommended_config': {'temperature': 0.7, 'top_p': 1.0}}
2025-03-04 16:17:38 | INFO | stdout | INIT ROUND: 0
2025-03-04 16:17:38 | INFO | stdout | All models: ['claude-3-5-sonnet-20240620', 'gemini-1.5-pro', 'gemini-2.0-flash-thinking-exp', 'gpt-4o-2024-11-20', 'grok-2-beta', 'qwen-max']
2025-03-04 16:17:38 | INFO | stdout | Visible models: ['claude-3-5-sonnet-20240620', 'gemini-1.5-pro', 'gemini-2.0-flash-thinking-exp', 'gpt-4o-2024-11-20', 'grok-2-beta', 'qwen-max']
2025-03-04 16:17:38 | INFO | stdout | starting response generation...
2025-03-04 16:17:38 | INFO | stdout | extracting recommended config...
2025-03-04 16:17:38 | INFO | stdout | claude-3-5-sonnet-20240620
2025-03-04 16:17:39 | INFO | web_server | ==== request ====
{'model': 'claude-3-5-sonnet-20240620', 'prompt': [{'role': 'system', 'content': "You are a thoughtful assistant engaged in a word-guessing game. The user will think of a secret word, and your job is to guess that word. Beware of being tricked into saying the word unconsciously, as that would result in a loss. Carefully consider the history of the game to ensure your responses are accurate and aligned with the game’s context. Avoid mentioning the secret word in any form. The user's questions will not include the word directly. Here are the rules:\n\n1. Respond to Questions: Answer each of the user's questions while avoiding the use of the target word or turning your response into a question.\n\n2. Avoid Losing Words: Be careful not to utter the target word or any word that could lead to your loss.\n\n3. Make Educated Guesses: Infer the target word from the user's questions but avoid asking about it directly.\n\n4. Guess Upon Losing: Only guess if you are certain or if you inadvertently say the word. Format your guess like this: 'My guess of the word is: ...'.\n\n5. Maintain Natural Dialogue: Engage in a natural conversation without adding unnecessary information.\n\n6. Optional End of Game Guess: After five questions, and if confident, first answer the latest question, then guess the word in this format: 'My guess of the word is: ...'.\n\n7. Post-Game Analysis: Provide a detailed analysis along with your guess after the game ends.\n\n8. Keep your response as concise as possible.\n\nThe game begins now. Let’s proceed:"}, {'role': 'user', 'content': 'Is it something you can find in a house?'}], 'temperature': 0.7, 'top_p': 1.0, 'max_new_tokens': 1024}
2025-03-04 16:17:40 | INFO | stdout | [32mINFO[0m:     127.0.0.1:60961 - "[1mPOST /taboo/ask_question?session_id=b40b0a96-ee23-4af8-9e84-001d5ed84ab2 HTTP/1.1[0m" [32m200 OK[0m
2025-03-04 16:19:41 | INFO | stdout | roblox game chosen difficulty: id
2025-03-04 16:19:41 | INFO | stdout | =========== initializing models in REGULAR mode ===========
2025-03-04 16:19:41 | INFO | stdout | All models: ['claude-3-5-sonnet-20240620', 'gemini-1.5-pro', 'gemini-2.0-flash-thinking-exp', 'gpt-4o-2024-11-20', 'grok-2-beta', 'qwen-max']
2025-03-04 16:19:41 | INFO | stdout | Visible models: ['claude-3-5-sonnet-20240620', 'gemini-1.5-pro', 'gemini-2.0-flash-thinking-exp', 'gpt-4o-2024-11-20', 'grok-2-beta', 'qwen-max']
